Date,ID,Amount,Name,Type,,,,,,,
12/4/2020 0:00,24091,-22.42,LUKE'S NEW YORK BAGEL SH GAINESVILLE FL  12/04/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/5/2020 0:00,585272,-4.21,SQ *HALO POTATO DONUTS Gainesville FL  12/05/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/5/2020 0:00,5767,-17.82,SUS HI EAT* SUS HI EAT WWW.SUSHIEATS FL  12/06/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/6/2020 0:00,220480,-11.48,PUBLIX #1312 GAINESVILLE FL  12/05/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/6/2020 0:00,220486,-6.13,PUBLIX #1560 GAINESVILLE FL  12/05/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/6/2020 0:00,220522,-44.41,PUBLIX #1560 GAINESVILLE FL  12/05/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/6/2020 0:00,273612,-19.99,#026939 ADOBE CREATIVE CLOUD 408-536-6000 CA,"billpayment, withdrawal, processed",0,0,0,0,0,0,0
12/7/2020 0:00,71649,-42.59,BATH AND BODY WORKS#5489 GAINESVILLE FL  12/05/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/7/2020 0:00,148089,59.2,VENMO : CASHOUT  ID: x92  CO: VENMO,"ach, deposit, processed",0,0,0,0,0,0,0
12/7/2020 0:00,829648,-43.3,SignUp *TriGatorsTriathl 888-3851360 FL  12/07/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/7/2020 0:00,829706,-15,SignUp *USAT-Membership 888-3851360 CO  12/07/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/8/2020 0:00,119843,-10.17,UF UNION ARTS AND CRAFTS GAINESVILLE FL  12/07/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/8/2020 0:00,119849,-12.74,UF UNION ARTS AND CRAFTS GAINESVILLE FL  12/07/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/8/2020 0:00,119908,-2,UF WELCOME CENTER GARAGE GAINESVILLE FL  12/07/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/8/2020 0:00,258320,-6.09,MCDONALD'S F38475 1206 W UNIVERITY A GAINESVILLE FL,"pos, withdrawal, processed",0,0,0,0,0,0,0
12/8/2020 0:00,386844,-10,VENMO : PAYMENT  ID: x92  CO: VENMO,"ach, withdrawal, processed",0,0,0,0,0,0,0
12/8/2020 0:00,601248,-44.28,9402 PLANET FITNESS GAINESVILLE FL  12/07/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/10/2020 0:00,11962,-5.87,SQ *BAY ISLANDS COFFEE CO Gainesville FL  12/09/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/10/2020 0:00,390911,-276,VENMO : PAYMENT  ID: x92  CO: VENMO,"ach, withdrawal, processed",0,0,0,0,0,0,0
12/11/2020 0:00,513269,-16.04,SQ *TINKER FOOD TRUCK Gainesville FL  12/10/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/12/2020 0:00,166018,-9.9,CHIPOTLE ONLINE CHIPOTLE.COM CA  12/12/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/13/2020 0:00,207363,-13.37,PUBLIX #1560 GAINESVILLE FL  12/12/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/13/2020 0:00,207387,-37.05,PUBLIX #1560 GAINESVILLE FL  12/12/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/13/2020 0:00,524289,-9.58,CHICK-FIL-A #03698 GAINESVILLE FL  12/12/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/14/2020 0:00,111802,-10.08,43RD STREET DELI & BRE 352-3732927 FL  12/13/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/14/2020 0:00,469685,-4,VENMO : PAYMENT  ID: x92  CO: VENMO,"ach, withdrawal, processed",0,0,0,0,0,0,0
12/14/2020 0:00,837769,-5.35,"SQ *VOLTA COFFEE, TEA & C Gainesville FL  12/14/20","debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/15/2020 0:00,184666,-10.07,PUBLIX #795 GAINESVILLE FL  12/14/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/15/2020 0:00,726979,-13.89,MICHAELS STORES 9609 3644 SOUTHWEST ARC GAINESVILLE FL,"pos, withdrawal, processed",0,0,0,0,0,0,0
12/15/2020 0:00,13168,-25.95,SQ *REPURPOSE PROJE GAINESVILLE FL  12/15/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/16/2020 0:00,223364,-3.29,TRADER JOE'S #764 QPS GAINESVILLE FL  12/15/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/16/2020 0:00,520640,-6.53,PANERA BREAD #204152 P GAINESVILLE FL  12/15/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/16/2020 0:00,646309,-8.06,SQ *PASCAL'S COFFEE GAINESVILLE FL  12/16/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/16/2020 0:00,663550,-16.01,GOODWILLJAX_48 GAINESVILLE FL  12/15/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/17/2020 0:00,230360,-11.49,WALGREENS #4037 GAINESVILLE FL  12/16/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/17/2020 0:00,257795,-1.35,CITY OF GAINESVILLE PARK GAINESVILLE FL  12/16/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/17/2020 0:00,443046,-16.05,PLANET FIT : CLUB FEES  ID: x37 CO: PLANET FIT,"ach, withdrawal, processed",0,0,0,0,0,0,0
